server_id,avg_cpu_pct,avg_ram_pct,avg_storage_pct,avg_power_watts,avg_network_mbps,health_score,health_status,rack_id,data_center_location,server_type,cpu_cores,ram_gb,install_date,status
SVR-009,78.0,72.83,52.33,372.17,492.5,31.25,Critical,RACK-B1,CHI-DC2,Web,16,64,2020-11-05,Active
SVR-013,67.4,62.0,43.8,341.4,437.0,41.3,Critical,RACK-B3,CHI-DC2,App,24,128,2022-02-14,Active
SVR-010,64.4,59.2,45.8,321.4,415.6,42.74,Critical,RACK-B1,CHI-DC2,Web,16,64,2020-11-05,Active
SVR-011,90.83,85.5,70.17,511.5,651.67,16.97,Critical,RACK-B2,CHI-DC2,DB,32,256,2021-03-18,Active
SVR-008,55.0,51.2,83.0,298.6,372.0,37.74,Critical,RACK-A4,NYC-DC1,Storage,16,128,2022-06-01,Active
SVR-017,65.33,61.0,47.33,321.33,421.67,41.37,Critical,RACK-C1,DAL-DC3,Web,16,64,2021-08-30,Active
SVR-015,37.8,34.8,26.2,206.8,270.2,66.58,Warning,RACK-B4,CHI-DC2,Cache,8,32,2023-01-20,Active
SVR-014,51.2,48.2,39.4,282.0,335.6,53.24,Warning,RACK-B3,CHI-DC2,App,24,128,2022-02-14,Maintenance
SVR-016,57.2,53.2,85.0,309.0,392.2,35.66,Critical,RACK-B4,CHI-DC2,Storage,16,128,2023-01-20,Active
SVR-019,76.0,72.0,64.83,427.5,542.33,28.55,Critical,RACK-C2,DAL-DC3,DB,32,256,2020-05-12,Active
SVR-007,41.2,37.6,29.2,215.6,291.0,63.48,Warning,RACK-A4,NYC-DC1,Cache,8,32,2022-06-01,Active
SVR-025,46.33,42.67,81.67,266.83,332.0,44.17,Critical,RACK-C5,DAL-DC3,Storage,16,128,2019-12-01,Maintenance
SVR-023,39.0,36.0,30.83,211.17,275.83,64.35,Warning,RACK-C4,DAL-DC3,Cache,8,32,2023-04-15,Active
SVR-003,92.36,87.0,72.27,512.73,660.0,15.28,Critical,RACK-A2,NYC-DC1,DB,32,256,2019-07-22,Active
SVR-004,83.5,79.0,67.33,497.5,622.5,22.7,Critical,RACK-A2,NYC-DC1,DB,32,256,2019-07-22,Active
SVR-006,47.6,44.6,36.2,275.0,321.0,56.72,Warning,RACK-A3,NYC-DC1,App,24,128,2021-01-10,Maintenance
SVR-005,73.0,67.83,47.33,367.0,462.17,36.25,Critical,RACK-A3,NYC-DC1,App,24,128,2021-01-10,Active
SVR-012,93.91,91.73,77.27,582.09,729.55,11.74,Critical,RACK-B2,CHI-DC2,DB,64,512,2021-03-18,Active
SVR-024,51.83,48.17,88.0,287.33,361.33,38.42,Critical,RACK-C4,DAL-DC3,Storage,32,256,2023-04-15,Active
SVR-018,74.83,70.5,59.83,410.0,517.67,30.97,Critical,RACK-C1,DAL-DC3,Web,32,128,2021-08-30,Active
SVR-022,55.17,51.0,41.5,292.67,372.17,50.18,Warning,RACK-C3,DAL-DC3,App,24,128,2022-09-07,Active
SVR-002,66.5,60.67,42.33,330.17,425.83,42.5,Critical,RACK-A1,NYC-DC1,Web,16,64,2020-03-15,Active
SVR-021,62.33,58.0,44.83,316.83,410.67,44.22,Critical,RACK-C3,DAL-DC3,App,24,128,2022-09-07,Active
SVR-001,81.0,74.36,57.73,355.45,491.82,27.97,Critical,RACK-A1,NYC-DC1,Web,16,64,2020-03-15,Active
SVR-020,,,,,,0.0,Decommissioned,RACK-C2,DAL-DC3,DB,64,512,,Decommissioned
